Category,Item ID,Due Diligence Item,Priority,Status,Owner,Due Date,Notes,Red Flag?
FINANCIAL - GENERAL,F001,3 years audited/reviewed financial statements,Critical,Not Started,TKE Finance,,Required for SBA,
FINANCIAL - GENERAL,F002,Tax returns (3 years - federal and state),Critical,Not Started,TKE Finance,,Compare to financials,
FINANCIAL - GENERAL,F003,Year-to-date P&L (current year),Critical,Not Started,TKE Finance,,Most recent month-end,
FINANCIAL - GENERAL,F004,Monthly P&L statements (3 years),High,Not Started,TKE Finance,,Identify seasonality,
FINANCIAL - GENERAL,F005,Balance sheet (current),Critical,Not Started,TKE Finance,,Working capital analysis,
FINANCIAL - GENERAL,F006,Chart of accounts,Medium,Not Started,TKE Finance,,Understand expense categories,
FINANCIAL - REVENUE,F007,Revenue by service line (E&M/Consults/Dialysis/MedDir),Critical,Not Started,TKE Finance,,Concentration risk,YES
FINANCIAL - REVENUE,F008,Revenue by physician,Critical,Not Started,TKE Finance,,Provider concentration,YES
FINANCIAL - REVENUE,F009,Revenue by location,High,Not Started,TKE Finance,,Southaven performance,
FINANCIAL - REVENUE,F010,Revenue by payor (Medicare/MA/Commercial/Medicaid),Critical,Not Started,TKE Finance,,Payor mix analysis,
FINANCIAL - REVENUE,F011,Top 10 payors with revenue amounts,High,Not Started,TKE Finance,,Concentration risk,
FINANCIAL - REVENUE,F012,Collections rate by payor type,High,Not Started,TKE Finance,,Cash conversion,
FINANCIAL - AR,F013,Accounts receivable aging (30/60/90/120+),Critical,Not Started,TKE Finance,,Collection risk,YES
FINANCIAL - AR,F014,Bad debt history and reserve methodology,High,Not Started,TKE Finance,,Write-off patterns,
FINANCIAL - AR,F015,Accounts payable aging,High,Not Started,TKE Finance,,Outstanding obligations,
FINANCIAL - EBITDA,F016,EBITDA add-back schedule with documentation,Critical,Not Started,TKE Finance,,Validate adjustments,YES
FINANCIAL - EBITDA,F017,Owner compensation vs market rate analysis,Critical,Not Started,TKE Finance,,MGMA comparison,YES
FINANCIAL - EBITDA,F018,Related party transactions list,High,Not Started,TKE Finance,,FMV verification,YES
FINANCIAL - EBITDA,F019,Non-recurring expenses identification,High,Not Started,TKE Finance,,One-time items,
FINANCIAL - BANKING,F020,Bank statements (12 months),High,Not Started,TKE Finance,,Cash flow verification,
FINANCIAL - BANKING,F021,Line of credit agreements,Medium,Not Started,TKE Finance,,Outstanding debt,
FINANCIAL - BANKING,F022,Loan agreements and payment schedules,High,Not Started,TKE Finance,,Debt to assume/payoff,
LEGAL - CORPORATE,L001,Articles of Organization/Incorporation,High,Not Started,TKE Legal,,Entity structure,
LEGAL - CORPORATE,L002,Operating Agreement/Bylaws,High,Not Started,TKE Legal,,Ownership verification,
LEGAL - CORPORATE,L003,Good standing certificates (TN and MS),High,Not Started,TKE Legal,,Entity status,
LEGAL - CORPORATE,L004,Ownership/member interest schedule,Critical,Not Started,TKE Legal,,Who owns what %,
LEGAL - CORPORATE,L005,Minutes of member/shareholder meetings,Medium,Not Started,TKE Legal,,Governance history,
LEGAL - CONTRACTS,L006,DaVita Medical Director Agreement(s),Critical,Not Started,TKE Legal,,CRITICAL - transferability,YES
LEGAL - CONTRACTS,L007,Fresenius agreements (if any),High,Not Started,TKE Legal,,Other dialysis relationships,
LEGAL - CONTRACTS,L008,Hospital medical staff agreements,High,Not Started,TKE Legal,,Credentialing requirements,
LEGAL - CONTRACTS,L009,Payor contracts (all),Critical,Not Started,TKE Legal,,Assignment provisions,YES
LEGAL - CONTRACTS,L010,Referral source agreements,High,Not Started,TKE Legal,,Stark compliance check,YES
LEGAL - CONTRACTS,L011,Vendor contracts (major),Medium,Not Started,TKE Legal,,Assignment/termination,
LEGAL - CONTRACTS,L012,Equipment leases,Medium,Not Started,TKE Legal,,Obligations,
LEGAL - REAL ESTATE,L013,Office lease agreements (both locations),High,Not Started,TKE Legal,,Assignment provisions,
LEGAL - REAL ESTATE,L014,Real property ownership (if any),High,Not Started,TKE Legal,,Included in deal?,
LEGAL - REAL ESTATE,L015,Lease terms and expiration dates,High,Not Started,TKE Legal,,Renegotiation needs,
LEGAL - EMPLOYMENT,L016,Physician employment agreements (all 3 MDs),Critical,Not Started,TKE Legal,,Compensation terms,YES
LEGAL - EMPLOYMENT,L017,Non-compete agreements (all providers),Critical,Not Started,TKE Legal,,Post-acquisition retention,YES
LEGAL - EMPLOYMENT,L018,NP/APP employment agreements,High,Not Started,TKE Legal,,Retention planning,
